ID	漢字	部首	画数	音読	訓読	級
1242000	規	見	11	[キ]	[]	6
508500	応	心	7	[オウ]	[[こた,える]]	6
7278600	歴	止	14	[レキ]	[]	6
6275500	編	糸	15	[ヘン]	[[あ,む]]	6
5492400	燃	火	16	[ネン]	[[も,える],[も,やす],[も,す]]	6
4387100	損	扌	13	[ソン]	[[そこ,なう],[そこ,ねる]]	6
3873300	政	攵	9	[セイ,ショウ]	[[まつりごと]]	6
2971600	舎	舌	8	[シャ]	[]	6
2539500	際	阝	14	[サイ]	[[きわ]]	6
2004000	現	王	11	[ゲン]	[[あらわ,れる],[あらわ,す]]	6
1246700	喜	口	12	[キ]	[[よろこ,ぶ]]	6
512200	往	彳	8	[オウ]	[]	6
6281500	弁	廾	5	[ベン]	[]	6
5498200	能	肉	10	[ノウ]	[]	6
4458700	貸	貝	12	[タイ]	[[か,す]]	6
3905300	勢	力	13	[セイ]	[[いきお,い]]	6
2990200	謝	訁	17	[シャ]	[[あやま,る]]	6
2545500	在	土	6	[ザイ]	[[あ,る]]	6
2010600	減	氵	12	[ゲン]	[[へ,る],[へ,らす]]	6
1301100	技	扌	7	[ギ]	[[わざ]]	6
522800	桜	木	10	[オウ]	[[さくら]]	6
6298600	保	亻	9	[ホ]	[[たも,つ]]	6
5531100	破	石	10	[ハ]	[[やぶ,る],[やぶ,れる]]	6
4463400	態	心	14	[タイ]	[]	6
3915000	精	米	14	[セイ,ショウ]	[]	6
3083600	授	扌	11	[ジュ]	[[さず,ける],[さず,かる]]	6
2549600	財	貝	10	[ザイ,サイ]	[]	6
2046000	故	攵	9	[コ]	[[ゆえ]]	6
1307200	義	羊	13	[ギ]	[]	6
632800	可	口	5	[カ]	[]	6
6326600	墓	土	13	[ボ]	[[はか]]	6
5732700	犯	犭	5	[ハン]	[[おか,す]]	6
4636300	団	囗	6	[ダン,トン]	[]	6
3922100	製	衣	14	[セイ]	[]	6
3116600	修	亻	10	[シュウ,シュ]	[[おさ,める],[おさ,まる]]	6
2551500	罪	罒	13	[ザイ]	[[つみ]]	6
2056900	個	亻	10	[コ]	[]	6
1355000	逆	辶	9	[ギャク]	[[さか],[さか,らう]]	6
636700	仮	亻	6	[カ,ケ]	[[かり]]	6
6386800	報	土	12	[ホウ]	[[むく,いる]]	6
5738200	判	刂	7	[ハン,バン]	[]	6
4642900	断	斤	11	[ダン]	[[た,つ],[ことわ,る]]	6
3939700	税	禾	12	[ゼイ]	[]	6
3224700	述	辶	8	[ジュツ]	[[の,べる]]	6
2596600	殺	殳	10	[サツ,サイ]	[[ころ,す]]	6
2114300	護	訁	20	[ゴ]	[]	6
1364400	久	丿	3	[キュウ,ク]	[[ひさ,しい]]	6
653600	価	亻	8	[カ]	[[あたい]]	6
6395100	豊	豆	13	[ホウ]	[[ゆた,か]]	6
5744600	版	片	8	[ハン]	[]	6
4704700	築	竹	16	[チク]	[[きず,く]]	6
3969200	責	貝	11	[セキ]	[[せ,める]]	6
3226800	術	行	11	[ジュツ]	[]	6
2605500	雑	隹	14	[ザツ,ゾウ]	[]	6
2190700	効	力	8	[コウ]	[[き,く]]	6
1370600	旧	日	5	[キュウ]	[]	6
660500	河	氵	8	[カ]	[[かわ]]	6
6425000	防	阝	7	[ボウ]	[[ふせ,ぐ]]	6
5790900	比	比	4	[ヒ]	[[くら,べる]]	6
4768800	貯	貝	12	[チョ]	[]	6
3979200	績	糸	17	[セキ]	[]	6
3264000	準	氵	13	[ジュン]	[]	6
2667100	酸	酉	14	[サン]	[[す,い]]	6
2204400	厚	厂	9	[コウ]	[[あつ,い]]	6
1400000	救	攵	11	[キュウ]	[[すく,う]]	6
695300	過	辶	12	[カ]	[[す,ぎる],[す,ごす],[あやま,つ],[あやま,ち]]	6
6450100	貿	貝	12	[ボウ]	[]	6
5806600	肥	月	8	[ヒ]	[[こ,える],[こえ],[こ,やす],[こ,やし]]	6
4796600	張	弓	11	[チョウ]	[[は,る]]	6
3995400	接	扌	11	[セツ]	[[つ,ぐ]]	6
3319500	序	广	7	[ジョ]	[]	6
2670100	賛	貝	15	[サン]	[]	6
2242700	耕	耒	10	[コウ]	[[たがや,す]]	6
1425200	居	尸	8	[キョ]	[[い,る]]	6
766800	快	忄	7	[カイ]	[[こころよ,い]]	6
6925900	幼	幺	5	[ヨウ]	[[おさな,い]]	5
6203500	並	一	8	[ヘイ]	[[なみ],[なら,べる],[なら,ぶ],[なら,びに]]	5
5229900	糖	米	16	[トウ]	[]	5
4522300	宅	宀	6	[タク]	[]	5
3913000	誠	訁	13	[セイ]	[[まこと]]	5
3189000	縦	糸	16	[ジュウ]	[[たて]]	5
2572800	策	竹	12	[サク]	[]	5
1962400	憲	心	16	[ケン]	[]	5
1181300	危	㔾	6	[キ]	[[あぶ,ない],[あや,うい],[あや,ぶむ]]	5
141900	胃	肉	9	[イ]	[]	5
6995900	欲	欠	11	[ヨク]	[[ほっ,する],[ほ,しい]]	5
6212000	陛	阝	10	[ヘイ]	[]	5
5337600	届	尸	8	[]	[[とど,ける],[とど,く]]	5
4589000	担	扌	8	[タン]	[[かつ,ぐ],[にな,う]]	5
4017300	舌	舌	6	[ゼツ]	[[した]]	5
